time_str,time,co2_1,co2_2,co2_3,co2_4,supply_flow
06-Dec-2021 00:00:00,738496,437.6,445,419.066666666667,448,506.533333333333
06-Dec-2021 00:15:00,738496.010416667,436,440.8,418,441.2,506.733333333333
06-Dec-2021 00:30:00,738496.020833333,427.2,438,414.266666666667,415.933333333333,506.866666666667
06-Dec-2021 00:45:00,738496.03125,424,423.6,414,417.6,507.333333333333
06-Dec-2021 01:00:00,738496.041666667,407.866666666667,414,408.4,417,506.066666666667
06-Dec-2021 01:15:00,738496.052083333,402,411,408,400,506.466666666667
06-Dec-2021 01:30:00,738496.0625,400.533333333333,409,400.533333333333,400,506.333333333333
06-Dec-2021 01:45:00,738496.072916667,400,407.2,400,405.2,505.533333333333
06-Dec-2021 02:00:00,738496.083333333,403.666666666667,406,400,407,505.933333333333
06-Dec-2021 02:15:00,738496.09375,405,402.4,400,400,505.666666666667
06-Dec-2021 02:30:00,738496.104166667,401.333333333333,400,400,400,505.8
06-Dec-2021 02:45:00,738496.114583333,400,401.8,400,403,506.133333333333
06-Dec-2021 03:00:00,738496.125,403.666666666667,403,405.6,400,505.533333333333
06-Dec-2021 03:15:00,738496.135416667,405,401.2,406,402.4,506
06-Dec-2021 03:30:00,738496.145833333,409.4,400,405.066666666667,400,505.866666666667
06-Dec-2021 03:45:00,738496.15625,411,401.8,405,401.6,506.266666666667
06-Dec-2021 04:00:00,738496.166666667,407.333333333333,403,400.333333333333,401,506.466666666667
06-Dec-2021 04:15:00,738496.177083333,406,407.8,400,416.6,506.666666666667
06-Dec-2021 04:30:00,738496.1875,401.6,411,400,410,506.266666666667
06-Dec-2021 04:45:00,738496.197916667,400,409.8,400,406,506.666666666667
06-Dec-2021 05:00:00,738496.208333333,400.733333333333,409,400,412,506.6
06-Dec-2021 05:15:00,738496.21875,401,403.6,400,405.6,506.333333333333
06-Dec-2021 05:30:00,738496.229166667,406.866666666667,400,405.6,411,506.4
06-Dec-2021 05:45:00,738496.239583333,409,400,406,414.8,506.6
06-Dec-2021 06:00:00,738496.25,402.4,400,408.8,410,506.333333333333
06-Dec-2021 06:15:00,738496.260416667,400,407.2,409,406.6,506.733333333333
06-Dec-2021 06:30:00,738496.270833333,400,412,409.933333333333,400,506.866666666667
06-Dec-2021 06:45:00,738496.28125,400,412.6,410,411.8,507.4
06-Dec-2021 07:00:00,738496.291666667,400.733333333333,413,400.666666666667,413,507.133333333333
06-Dec-2021 07:15:00,738496.302083333,401,408.8,400,418.6,507.4
06-Dec-2021 07:30:00,738496.3125,410.533333333333,406,420.533333333333,421,507.333333333333
06-Dec-2021 07:45:00,738496.322916667,414,422.8,422,439.8,501.333333333333
06-Dec-2021 08:00:00,738496.333333333,444.8,441.533333333333,461.333333333333,455,486.066666666667
06-Dec-2021 08:15:00,738496.34375,456,587.8,543,613.666666666667,485.8
06-Dec-2021 08:30:00,738496.354166667,608.533333333333,649,618.6,645,485.666666666667
06-Dec-2021 08:45:00,738496.364583333,664,665.2,642.4,654.2,489.133333333333
06-Dec-2021 09:00:00,738496.375,697.733333333333,676,665.666666666667,656,494.266666666667
06-Dec-2021 09:15:00,738496.385416667,710,730,667,706.4,495.466666666667
06-Dec-2021 09:30:00,738496.395833333,729.8,757,689.4,716,496.6
06-Dec-2021 09:45:00,738496.40625,737,764.8,691,706.2,505.4
06-Dec-2021 10:00:00,738496.416666667,737,770,705.933333333333,678,493.866666666667
06-Dec-2021 10:15:00,738496.427083333,737,760.4,718.466666666667,741.2,491.666666666667
06-Dec-2021 10:30:00,738496.4375,768.533333333333,754,751.866666666667,719,491
06-Dec-2021 10:45:00,738496.447916667,780,765.4,752,749.6,489.933333333333
06-Dec-2021 11:00:00,738496.458333333,791,773,759.466666666667,749,489.8
06-Dec-2021 11:15:00,738496.46875,795,788.6,760,749.4,489.266666666667
06-Dec-2021 11:30:00,738496.479166667,801.6,799,766.533333333333,753,488.866666666667
06-Dec-2021 11:45:00,738496.489583333,804,805.6,767,757,490.2
06-Dec-2021 12:00:00,738496.5,803.266666666667,810,773.533333333333,760,489.8
06-Dec-2021 12:15:00,738496.510416667,803,811.8,774,770.2,489.666666666667
06-Dec-2021 12:30:00,738496.520833333,810.333333333333,813,773.066666666667,769,489.933333333333
06-Dec-2021 12:45:00,738496.53125,813,804.6,773,750.8,489.933333333333
06-Dec-2021 13:00:00,738496.541666667,790.266666666667,799,743.133333333333,746,488.733333333333
06-Dec-2021 13:15:00,738496.552083333,782,805.6,741,750,489.933333333333
06-Dec-2021 13:30:00,738496.5625,827.466666666667,810,775.533333333333,750,489.4
06-Dec-2021 13:45:00,738496.572916667,844,828.6,778,781,489.4
06-Dec-2021 14:00:00,738496.583333333,839.6,841,784.533333333333,781,488.6
06-Dec-2021 14:15:00,738496.59375,838,834.4,785,800,494.266666666667
